id,user_id,topic,language,skill_level,score,total,time_spent,hints_used,behavior_tag,recommended_action,created_at
1,simulated_student_101,"Variables & Types",Python,beginner,1,5,23,1,"Careless Responder","You answered very quickly — try slowing down and reading each question carefully next time.",2026-06-21 17:23:54
2,simulated_student_101,"Variables & Types",Python,beginner,1,5,12,1,"Careless Responder","You answered very quickly — try slowing down and reading each question carefully next time.",2026-06-21 17:23:54
3,simulated_student_101,"Variables & Types",Python,beginner,2,5,18,1,"Careless Responder","You answered very quickly — try slowing down and reading each question carefully next time.",2026-06-21 17:23:54
4,simulated_student_101,"Variables & Types",Python,beginner,2,5,15,1,"Careless Responder","You answered very quickly — try slowing down and reading each question carefully next time.",2026-06-21 17:23:54
5,simulated_student_101,"Conditionals & Loops",Python,beginner,2,5,19,1,"Careless Responder","You answered very quickly — try slowing down and reading each question carefully next time.",2026-06-21 17:23:54
6,simulated_student_101,"Conditionals & Loops",Python,beginner,4,5,53,0,"Steady Learner","You're making solid progress! Keep reinforcing the core ideas and you'll get there.",2026-06-21 17:23:54
7,simulated_student_101,"Conditionals & Loops",Python,beginner,3,5,51,0,"Steady Learner","You're making solid progress! Keep reinforcing the core ideas and you'll get there.",2026-06-21 17:23:54
8,simulated_student_101,"Function Scoping",JavaScript,beginner,4,5,65,0,"Steady Learner","You're making solid progress! Keep reinforcing the core ideas and you'll get there.",2026-06-21 17:23:54
9,simulated_student_101,"Function Scoping",JavaScript,beginner,4,5,63,2,"Assisted Learner","You're using hints well to think through problems. Try a similar topic to build more independence.",2026-06-21 17:23:54
10,simulated_student_101,"Function Scoping",JavaScript,beginner,3,5,68,0,"Steady Learner","You're making solid progress! Keep reinforcing the core ideas and you'll get there.",2026-06-21 17:23:54
11,simulated_student_101,"Function Scoping",JavaScript,beginner,3,5,93,2,"Assisted Learner","You're using hints well to think through problems. Try a similar topic to build more independence.",2026-06-21 17:23:54
12,simulated_student_101,"Array Mapping & Filtering",JavaScript,intermediate,4,5,50,2,"Assisted Learner","You're using hints well to think through problems. Try a similar topic to build more independence.",2026-06-21 17:23:54
13,simulated_student_101,"Array Mapping & Filtering",JavaScript,intermediate,3,5,51,0,"Steady Learner","You're making solid progress! Keep reinforcing the core ideas and you'll get there.",2026-06-21 17:23:54
14,simulated_student_101,"Array Mapping & Filtering",JavaScript,intermediate,4,5,51,2,"Assisted Learner","You're using hints well to think through problems. Try a similar topic to build more independence.",2026-06-21 17:23:54
15,simulated_student_101,"React state & useEffect",JavaScript,intermediate,3,5,67,2,"Assisted Learner","You're using hints well to think through problems. Try a similar topic to build more independence.",2026-06-21 17:23:54
16,simulated_student_101,"React state & useEffect",JavaScript,intermediate,4,5,118,1,"Persistent Learner","You put in the effort and it paid off. You're ready for more advanced practice.",2026-06-21 17:23:54
17,simulated_student_101,"React state & useEffect",JavaScript,intermediate,4,5,89,1,"Persistent Learner","You put in the effort and it paid off. You're ready for more advanced practice.",2026-06-21 17:23:54
18,simulated_student_101,"React state & useEffect",JavaScript,intermediate,5,5,17,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
19,simulated_student_101,"Inheritance & Polymorphism",Java,intermediate,4,5,22,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
20,simulated_student_101,"Inheritance & Polymorphism",Java,intermediate,4,5,24,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
21,simulated_student_101,"Inheritance & Polymorphism",Java,intermediate,5,5,30,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
22,simulated_student_101,"Async/Await Promises",JavaScript,advanced,5,5,38,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
23,simulated_student_101,"Async/Await Promises",JavaScript,advanced,4,5,33,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
24,simulated_student_101,"Async/Await Promises",JavaScript,advanced,5,5,28,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
25,simulated_student_101,"Async/Await Promises",JavaScript,advanced,4,5,22,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
26,simulated_student_101,"Memory Management & Pointers",C++,advanced,5,5,31,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
27,simulated_student_101,"Memory Management & Pointers",C++,advanced,5,5,27,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
28,simulated_student_101,"Memory Management & Pointers",C++,advanced,5,5,35,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
29,simulated_student_101,"Concurrency & Goroutines",Go,advanced,5,5,40,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
30,simulated_student_101,"Concurrency & Goroutines",Go,advanced,4,5,17,0,"Fast Learner","You picked this up really quickly! Try bumping up the difficulty or moving on to the next topic.",2026-06-21 17:23:54
